latitude,longitude,dots_exten,nearest_location
-36.93375000177792,174.78749999999036,2.78419,"Māngere Bridge, Onehunga Harbour Road, Onehunga, Maungakiekie-Tāmaki, Auckland, 1061, New Zealand / Aotearoa"
-36.92375000100611,174.7720833333235,0.369949,"Hugh Watt Drive, Onehunga, Maungakiekie-Tāmaki, Auckland, 1042, New Zealand / Aotearoa"
-36.90708333433884,174.8620833333232,3.35017,"Pakuranga Rotary Path, Pakūranga, Auckland, 1741, New Zealand / Aotearoa"
-36.88291666767128,174.87208333332353,0.585381,"Tāmaki Path, Point England, Auckland, 1072, New Zealand / Aotearoa"
-36.87041666767067,174.69708333332358,2.7519,"Eric Armishaw Reserve Walkway, Waterview, Auckland, 1026, New Zealand / Aotearoa"
-36.86208333433706,174.80458333332354,0.414122,"Hobson Bay Walkway, Remuera, Auckland, 1050, New Zealand / Aotearoa"
-36.86125000100378,174.7920833333235,1.34433,"Hobson Bay Walkway, Auckland, 1052, New Zealand / Aotearoa"
-36.85791666767017,174.6587499999904,1.97051,"Northwestern Motorway, Te Atatū South, Henderson-Massey, Auckland, 1530, New Zealand / Aotearoa"
-36.852083334336726,174.65708333332327,1.92827,"Te Atatū Shared Path, Te Atatū Peninsula, Auckland, 1530, New Zealand / Aotearoa"
-36.852083334336726,174.70958333332328,2.93315,"Dignan Street, Point Chevalier, Auckland, 1022, New Zealand / Aotearoa"
-36.827500001921294,174.64083333871952,0.803553,"Murray Road, Henderson-Massey, Auckland, 1530, New Zealand / Aotearoa"
-36.80041666766806,174.76624999999,0.121985,"42, Walter Street, Hauraki, Auckland, 0622, New Zealand / Aotearoa"
-36.78708333433429,174.67374999998992,0.526653,"Hobsonville Point Wharf, Launch Bay, Auckland, 0616, New Zealand / Aotearoa"
-36.78708333433429,174.6795833333233,0.368638,"Beach Haven Road, Beach Haven, Kaipātiki, Auckland, 0616, New Zealand / Aotearoa"
-36.767916667666896,174.76874999999006,0.669956,"63, Milford Road, Milford, Auckland, 0620, New Zealand / Aotearoa"
-36.64458333432884,174.72791666665705,0.101824,"Wade River Road, Wade Heads, Whangaparāoa, Hibiscus and Bays, Auckland, 0932, New Zealand / Aotearoa"
-36.617916667661234,174.41874999999004,0.129151,"Rodney, Auckland, New Zealand / Aotearoa"
-36.58708333432668,174.69708333332358,0.129508,"301, Hibiscus Coast Highway, Orewa, Hibiscus and Bays, Auckland, 0931, New Zealand / Aotearoa"
-36.09291666764148,173.9645833333234,0.253946,"Koremoa, Kaipara District, Northland, 0592, New Zealand / Aotearoa"
-35.74958333429561,174.34958333332338,2.30405,"Arataki Wharf, Dawson Street, Port Whangārei, Whangārei, Whangārei District, Northland, 0110, New Zealand / Aotearoa"
-35.334583334280296,174.1179166666568,0.116297,"158, Te Raupo Road, Opua, Far North District, Northland, New Zealand / Aotearoa"
-35.176250000941195,150.5920833333247,0.155273,"Alamein Caravan Park, Alamein Road, Sussex Inlet, Shoalhaven City Council, New South Wales, 2540, Australia"
-35.12708333427281,138.4695833333251,0.16722,"Esplanade, Christies Beach, Adelaide, City of Onkaparinga, South Australia, 5165, Australia"
-34.99875000093488,173.25541666665663,0.230652,"Tamatea Road, Unahi, Te Hiku Community, Far North District, Northland, 0486, New Zealand / Aotearoa"
-34.003750000899345,151.1145833333244,4.54376,"Tom Uglys Bridge, Princes Highway, Blakehurst, St George, Sydney, Georges River Council, New South Wales, 2221, Australia"
-33.96458333423129,151.1895833333242,0.273169,"Port Botany Boat Ramp, Eastern Suburbs, Sydney, Bayside Council, New South Wales, 2019, Australia"
