Latitude_degree,Longitudedegree,Water_Sample_Depth_m,Microplastics_measurement,Toxicity,Color,nearest_current_speed,nearest_u_current,nearest_v_current,is_land
38.7505,14.391667,0.0,0.512617,High,Red,0.1218523730357266,0.1120000034570694,-0.0480000004172325,False
38.690833,12.840333,0.0,0.760417,High,Red,0.1330037606569881,0.1330000013113021,-0.0010000000474974,False
39.208333,11.8425,0.0,0.659117,High,Red,0.0186010762338954,-0.0110000008717179,-0.0150000005960464,False
39.372,11.636,0.0,0.686521,High,Red,0.0186010762338954,-0.0110000008717179,-0.0150000005960464,False
40.012667,11.417333,0.0,0.30879,High,Red,0.0480832648959272,0.0460000038146972,-0.0140000004321336,False
43.024333,10.410667,0.0,0.274223,High,Red,0.0355105619648107,0.0350000001490116,-0.006000000052154,False
43.168167,10.2515,0.0,0.813379,High,Red,0.046615449850315,-0.0180000010877847,0.0430000014603138,False
43.765167,9.959,0.0,0.056846,High,Red,0.0651152850481286,-0.0480000004172325,0.0440000034868717,False
42.3425,6.501,0.0,0.262782,High,Red,0.0577754309051767,-0.0230000019073486,0.0530000030994415,False
42.039,6.942333,0.0,0.614031,High,Red,0.109772495808172,-0.0430000014603138,0.101000003516674,False
41.150333,7.9905,0.0,0.148626,High,Red,0.1423587092221892,-0.0750000029802322,0.1210000067949295,False
40.731,8.047833,0.0,0.331779,High,Red,0.1328344927541344,-0.0610000044107437,0.1180000081658363,False
39.545167,8.174,0.0,0.347719,High,Red,0.0270185139811874,-0.021000001579523,0.0170000009238719,False
39.254167,8.224,0.0,0.200767,High,Red,0.0142126714226375,-0.0110000008717179,0.0090000005438923,False
39.055333,8.322167,0.0,2.36587,High,Red,0.0320156223623853,0.0200000014156103,-0.025000000372529,False
38.888833,8.561833,0.0,0.702357,High,Red,0.0380131581212746,-0.038000002503395,0.0010000000474974,False
39.001,9.2785,0.0,0.597923,High,Red,0.1422146300538662,-0.1040000021457672,0.0970000028610229,False
38.806333,9.479833,0.0,0.279242,High,Red,0.1350740588730626,-0.1270000040531158,0.0460000038146972,False
38.1745,10.5115,0.0,0.015786,High,Red,0.156016038762587,0.1540000140666961,0.025000000372529,False
38.1185,10.761833,0.0,0.193801,High,Red,0.2030024720992749,0.203000009059906,0.0010000000474974,False
38.025167,11.2825,0.0,0.283038,High,Red,0.1322308709224493,0.1310000121593475,-0.0180000010877847,False
38.013833,11.612333,0.0,0.064788,High,Red,0.1389244460405479,0.1280000060796737,-0.0540000014007091,False
37.252333,13.144667,0.0,0.344158,High,Red,0.1332554032749316,0.0690000057220459,-0.1140000075101852,False
37.109833,13.5065,0.0,1.632864,High,Red,0.2089258297851257,0.111000008881092,-0.1770000010728836,False
38.777667,11.7445,0.0,0.182471,High,Red,0.0480000004172325,0.0480000004172325,0.0,False
38.94,11.450667,0.0,0.967838,High,Red,0.0391152152355084,-0.003000000026077,-0.0390000008046627,False
39.0755,11.1705,0.0,0.175739,High,Red,0.0608769291247986,-0.0150000005960464,-0.0590000040829181,False
